pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,71,SeasonalNaive-8,1.1876894175021679e-08,8.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,SeasonalNaive-56,1.202453502585681e-08,10.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Informer,1.2038768130949216e-08,11.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Theta,1.2310380267019187e-08,12.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,ETS,1.2448021001750407e-08,13.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,XGBoost,1.2968886627654321e-08,14.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Naive,1.5857245454877517e-08,15.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NBEATS-I,8.91057895256812e-09,1.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NBEATS-G,8.965819715906918e-09,2.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NHITS,8.98375273579385e-09,3.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,LightGBM,9.410032557171007e-09,4.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,LSTM,9.79278124048854e-09,5.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,GRU,9.79568869898475e-09,6.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,RandomForest,1.0402695166879752e-08,7.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,SeasonalNaive-56,1.213483598117129e-08,8.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Arima,1.2200220025578028e-08,9.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,SeasonalNaive-8,1.2200220025578028e-08,9.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Informer,1.2538354974844513e-08,11.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
